start_at,end_at,clip_id,subject_id,trial_id,valence,arousal,dominance,liking,baseline_id
384,512,s13.dat_1,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
512,640,s13.dat_2,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
640,768,s13.dat_3,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
768,896,s13.dat_4,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
896,1024,s13.dat_5,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
1024,1152,s13.dat_6,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
1152,1280,s13.dat_7,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
1280,1408,s13.dat_8,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
1408,1536,s13.dat_9,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
1536,1664,s13.dat_10,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
1664,1792,s13.dat_11,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
1792,1920,s13.dat_12,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
1920,2048,s13.dat_13,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
2048,2176,s13.dat_14,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
2176,2304,s13.dat_15,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
2304,2432,s13.dat_16,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
2432,2560,s13.dat_17,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
2560,2688,s13.dat_18,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
2688,2816,s13.dat_19,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
2816,2944,s13.dat_20,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
2944,3072,s13.dat_21,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
3072,3200,s13.dat_22,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
3200,3328,s13.dat_23,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
3328,3456,s13.dat_24,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
3456,3584,s13.dat_25,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
3584,3712,s13.dat_26,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
3712,3840,s13.dat_27,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
3840,3968,s13.dat_28,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
3968,4096,s13.dat_29,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
4096,4224,s13.dat_30,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
4224,4352,s13.dat_31,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
4352,4480,s13.dat_32,s13.dat,0,2.8499999999999996,0.9100000000000001,5.01,6.08,s13.dat_0
